Manchester United,Arsenal,15,1884.4798973947134,873.6016687110775,24, Lacazette,25413
Manchester United,Arsenal,15,608.1158538581274,565.1980421915895,4, Mustafi,20612
Manchester United,Arsenal,15,1776.0724727498023,460.531525493454,59, Sanchez,3361
Manchester United,Arsenal,15,1557.764368900483,618.2293798629479,104, Ozil,3319
Manchester United,Arsenal,15,1121.722751658819,1312.2267463756166,49, Moruno,167145
Manchester United,Arsenal,15,1221.565060510817,128.9941080679105,37, Kolasinac,14869
Manchester United,Arsenal,15,1165.3744637600448,804.7143900666654,54, Xhaka,49876
Manchester United,Arsenal,15,1425.4855081316434,830.5217627646847,72, Ramsey,7870
Manchester United,Arsenal,15,968.4052450727921,380.21388878173855,56, Eraso,3560
Manchester United,Arsenal,15,880.8701151694222,1016.1366464880853,52, Koscielny,7855
Manchester United,Arsenal,15,197.1442627933314,681.6318411962259,18, Cech,7882
Leicester City,Arsenal,31,1366.3078497023644,679.6550526597193,10, Welbeck,7945
Leicester City,Arsenal,31,919.3565797602763,825.0241618854195,65, Xhaka,49876
Leicester City,Arsenal,31,1037.7759501899754,1307.8902671829026,39, Maitland-Niles,279717
Leicester City,Arsenal,31,747.8989815525978,610.5411382708525,40, Holding,370224
Leicester City,Arsenal,31,505.59340330262745,672.4187471228217,11, Mavropanos,413002
Leicester City,Arsenal,31,1489.2128338177897,955.5153244169612,62, Mkhitaryan,105338
Leicester City,Arsenal,31,1696.7763075703392,666.5991423011114,18, Aubameyang,25867
Leicester City,Arsenal,31,1195.273481138911,939.4938352878513,51, Ramsey,7870
Leicester City,Arsenal,31,1341.953310650642,427.8731347559601,52, Iwobi,230020
Leicester City,Arsenal,31,985.1461978584452,276.6087237680046,43, Kolasinac,14869
Leicester City,Arsenal,31,151.70510445603287,653.3804723483933,13, Cech,7882
Newcastle United,Arsenal,18,285.1258372571147,762.6343722431275,16, Cech,7882
Newcastle United,Arsenal,18,760.8190440309219,964.1994767551854,94, Koscielny,7855
Newcastle United,Arsenal,18,1235.6138950867396,1299.7050526149822,96, Moruno,167145
Newcastle United,Arsenal,18,860.416461471113,439.6331497358819,88, Eraso,3560
Newcastle United,Arsenal,18,1398.3064617040457,564.3347526746625,125, Ozil,3319
Newcastle United,Arsenal,18,1241.7120808626407,196.88525858104788,71, Maitland-Niles,279717
Newcastle United,Arsenal,18,1754.9567191392675,888.6382287130534,28, Lacazette,25413
Newcastle United,Arsenal,18,1396.244655593163,814.5495687408269,69, Wilshere,7873
Newcastle United,Arsenal,18,1630.593124097498,319.7270660314339,63, Sanchez,3361
Newcastle United,Arsenal,18,1502.763474280441,1072.4957727098176,60, Iwobi,230020
Newcastle United,Arsenal,18,1054.4482464770567,719.1973011999792,100, Xhaka,49876
Huddersfield Town,Arsenal,38,936.8298270726453,1325.2419921341539,36, Moruno,167145
Huddersfield Town,Arsenal,38,1052.020245151207,893.0905001257103,50, Iwobi,230020
Huddersfield Town,Arsenal,38,664.0089580101256,1012.6993081142554,49, Mustafi,20612
Huddersfield Town,Arsenal,38,708.8045807850248,349.5637198204917,54, Holding,370224
Huddersfield Town,Arsenal,38,1037.451086557395,127.92185355481116,33, Kolasinac,14869
Huddersfield Town,Arsenal,38,1462.991348395385,526.5380468519049,26, Aubameyang,25867
Huddersfield Town,Arsenal,38,1132.3490621536685,528.0593125119966,42, Ramsey,7870
Huddersfield Town,Arsenal,38,213.5541075205392,732.3764231994952,31, Ramirez,25662
Huddersfield Town,Arsenal,38,1358.9885196716841,786.6863333997998,32, Lacazette,25413
Huddersfield Town,Arsenal,38,1516.743121653983,980.8184745415315,40, Mkhitaryan,105338
Huddersfield Town,Arsenal,38,858.259143028341,645.0040357458508,41, Xhaka,49876
Tottenham Hotspur,Arsenal,27,1422.4670220173048,581.6994372991247,16, Aubameyang,25867
Tottenham Hotspur,Arsenal,27,953.0506975538827,972.2723734393501,30, Elneny,120339
Tottenham Hotspur,Arsenal,27,605.1752171693495,1050.6972456968592,55, Mustafi,20612
Tottenham Hotspur,Arsenal,27,1262.9858137711624,778.759951930931,37, Wilshere,7873
Tottenham Hotspur,Arsenal,27,1087.6239327638395,113.01476598532815,46, Eraso,3560
Tottenham Hotspur,Arsenal,27,695.7119503611706,496.3087703186683,47, Koscielny,7855
Tottenham Hotspur,Arsenal,27,968.8050678792081,709.914116584063,68, Xhaka,49876
Tottenham Hotspur,Arsenal,27,1191.3431697260266,340.71432180734087,30, Mkhitaryan,105338
Tottenham Hotspur,Arsenal,27,963.9230152501921,1335.6618271667376,50, Moruno,167145
Tottenham Hotspur,Arsenal,27,217.11426677052222,686.1816618438143,26, Cech,7882
Tottenham Hotspur,Arsenal,27,1292.7998467373422,1053.7755279277803,54, Ozil,3319
Everton,Arsenal,9,1435.3392184798358,979.3035612658973,62, Ozil,3319
Everton,Arsenal,9,1639.1955634203093,479.1105793485349,48, Sanchez,3361
Everton,Arsenal,9,1252.8760383811332,793.8673959451127,59, Ramsey,7870
Everton,Arsenal,9,1009.2615433756475,640.5084277200889,91, Xhaka,49876
Everton,Arsenal,9,631.7124745362888,647.8960237818932,42, Mertesacker,7856
Everton,Arsenal,9,837.937779894959,249.567227640492,79, Eraso,3560
Everton,Arsenal,9,843.7468185099341,1218.9069410363604,64, Koscielny,7855
Everton,Arsenal,9,1461.087702273172,655.360907402114,25, Lacazette,25413
Everton,Arsenal,9,200.6490467793065,715.7122325505107,20, Cech,7882
Everton,Arsenal,9,1406.9251973389394,1263.9496263828303,38, Moruno,167145
