0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0024,0.0088,0.0247,0.0478,0.0755,0.1087,0.1415,0.1769,0.1942,0.219
0.8213,0.1441,0.0305,0.0034,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0004,0.0013,0.0043,0.0147,0.0326,0.069,0.1157,0.1696,0.2336,0.1747,0.0969,0.0513,0.0233,0.009,0.0027,0.0007,0.0001,0.0001
0.0,0.0002,0.0014,0.0146,0.04,0.076,0.1157,0.1722,0.1948,0.179,0.1139,0.0607,0.0187,0.0088,0.0035,0.0003,0.0002,0.0,0.0,0.0
0.0005,0.0111,0.0554,0.1507,0.2123,0.1952,0.1587,0.0998,0.0639,0.0303,0.0153,0.0048,0.0017,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0
0.0,0.0001,0.0017,0.0085,0.0225,0.0502,0.0957,0.1455,0.1893,0.2124,0.1497,0.0756,0.032,0.0122,0.0034,0.001,0.0002,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0012,0.0032,0.0084,0.022,0.0449,0.0882,0.1574,0.2283,0.1849,0.1181,0.0692,0.0407,0.0202,0.0099,0.0029,0.0005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0032,0.0071,0.0218,0.0448,0.0736,0.098,0.1393,0.172,0.2063,0.2333
0.0,0.0,0.002,0.0161,0.0434,0.0908,0.1491,0.2022,0.1948,0.152,0.0929,0.039,0.0128,0.0044,0.0005,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0003,0.001,0.0021,0.0066,0.0164,0.0417,0.085,0.1638,0.2023,0.1626,0.1195,0.0866,0.0524,0.0348,0.0172,0.0077
0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0035,0.0111,0.0314,0.0669,0.1123,0.1684,0.1866,0.1467,0.1075,0.0734,0.0481,0.0284,0.0149
0.0001,0.0041,0.0279,0.0832,0.1572,0.2008,0.1942,0.1423,0.0935,0.0528,0.0254,0.0116,0.005,0.0011,0.0006,0.0002,0.0,0.0,0.0,0.0
0.1533,0.5496,0.2145,0.0565,0.0167,0.0064,0.0021,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0029,0.0474,0.2018,0.3204,0.1937,0.1193,0.0641,0.0316,0.013,0.0042,0.0014,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0219,0.2352,0.4182,0.1987,0.0743,0.0324,0.0138,0.0041,0.0011,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0001,0.0001,0.0,0.0003,0.0009,0.002,0.0047,0.0218,0.0479,0.0945,0.1311,0.1649,0.168,0.1412,0.1104,0.0747,0.0374
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0017,0.0068,0.0208,0.0462,0.065,0.0928,0.1252,0.1583,0.2102,0.2725
0.0,0.0082,0.0462,0.1465,0.2336,0.2096,0.1624,0.0991,0.0571,0.0258,0.0089,0.0018,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0005,0.0017,0.0053,0.0166,0.044,0.0825,0.1344,0.164,0.1624,0.1445,0.1135,0.0839,0.0466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0009,0.0038,0.0126,0.0322,0.0505,0.0903,0.1246,0.1592,0.1754,0.1821,0.168
