id,Name,Team,Position,Height
217031,T. Partey,Atletico Madrid,MD,185
70273,J. Oblak,Atletico Madrid,GK,189
25445,K. Gameiro,Atletico Madrid,FW,172
4338,D. Costa,Atletico Madrid,FW,188
3682,A. Griezmann,Atletico Madrid,FW,175
227059,G. Martins,Atletico Madrid,FW,173
227894,J. Vargas,Atletico Madrid,DF,185
8311,S. Savic,Atletico Madrid,DF,187
4488,S. Esclapez,Atletico Madrid,MD,184
4375,V. Perez,Atletico Madrid,MD,184
3447,J. Belen,Atletico Madrid,DF,180
3433,D. Leal,Atletico Madrid,DF,187
28922,T. Lemar,Atletico Madrid,MD,170
3441,G. Arenas,Atletico Madrid,MD,181
222324,A. Werner,Atletico Madrid,GK,192
7908,F. Sanz,Atletico Madrid,FW,186
254408,A. Correa,Atletico Madrid,FW,172
279545,L. Pi,Atletico Madrid,DF,184
14822,A. Luthe,Augsburg,GK,195
221411,P. Max,Augsburg,DF,177
92947,K. Stafylidis,Augsburg,DF,178
448313,R. Rosch,Augsburg,FW,180
18728,S. Parker,Augsburg,FW,181
14997,J. Schmid,Augsburg,MD,179
16432,C. Silva,Augsburg,MD,184
14767,F. Giefer,Augsburg,GK,196
14914,M. Hitz,Augsburg,GK,193
224965,R. Framberger,Augsburg,DF,179
159,J. Gouweleeuw,Augsburg,DF,188
337960,M. Richter,Augsburg,FW,176
15782,J. Moravek,Augsburg,MD,180
65075,M. Hinteregger,Augsburg,DF,184
15695,M. Heller,Augsburg,MD,176
65180,M. Gregoritsch,Augsburg,FW,193
354997,S. Lezama,Augsburg,FW,188
493725,S. Asta,Augsburg,DF,178
15777,D. Baier,Augsburg,MD,176
15095,C. Janker,Augsburg,DF,185
8537,D. Ji,Augsburg,FW,188
37948,A. Finnbogason,Augsburg,FW,184
391449,K. Jakob,Augsburg,DF,180
15768,J. Callsen-Bracker,Augsburg,DF,188
16826,R. Khedira,Augsburg,MD,188
391442,F. Gotze,Augsburg,DF,185
38079,D. Opare,Augsburg,DF,175
15781,J. Koo,Augsburg,MD,183
366217,K. Danso,Augsburg,DF,190
3347,S. Carnicer,Barcelona,DF,178
3476,I. Rakitic,Barcelona,MD,184
4256,A. Parreu,Barcelona,MD,177
8323,D. Fernandez,Barcelona,MD,176
25701,L. Digne,Barcelona,DF,178
222770,N. Semedo,Barcelona,DF,177
