18550,E Can,Juventus,MD,24 (2),0.09,0.06,0.03,0.18
189821,M Zeegelaar,Watford,DF,12 (0),-0.01,0.06,0.0,0.05
192748,M James,Leicester City,MD,11 (2),0.05,-0.01,-0.08,-0.05
20420,Z Ibrahimovic,Unknown,FW,1 (4),0.07,0.04,-0.16,-0.05
20441,E Lamela,Tottenham Hotspur,MD,7 (18),0.02,0.0,-0.02,0.0
20450,B Perez,Deportivo Alaves,FW,1 (0),0.0,0.03,-0.0,0.03
20505,S Chuka,Watford,FW,3 (12),0.04,-0.04,0.11,0.12
20593,R Pereyra,Watford,MD,18 (14),0.0,0.09,0.09,0.18
20606,S Romero,Manchester United,GK,1 (0),-0.0,0.0,0.0,-0.0
20612,S Mustafi,Arsenal,DF,25 (2),0.04,0.04,0.09,0.17
20620,P Avomo,West Ham United,MD,18 (3),0.01,0.01,0.07,0.1
207164,P N'Diaye,Stoke City,MD,13 (0),0.02,0.01,0.08,0.11
20855,M Schelotto,Brighton & Hove Albion,DF,15 (5),0.03,-0.03,-0.01,-0.01
20857,M Gabbiadini,Southampton,FW,11 (14),0.02,0.02,0.15,0.19
210044,E Dier,Tottenham Hotspur,MD,32 (2),0.05,0.07,-0.06,0.06
21095,M Darmian,Manchester United,DF,5 (0),0.01,0.04,0.0,0.05
21100,A Ogbonna,West Ham United,DF,32 (0),0.04,-0.0,0.02,0.05
21160,M Cabrera,Watford,DF,10 (1),0.02,-0.01,0.06,0.07
21164,F Fernandez,Newcastle United,DF,30 (0),0.05,0.02,0.02,0.09
212651,C Musonda,Unknown,MD,0 (2),0.01,0.31,-0.3,0.02
21333,Y Benalouane,Leicester City,DF,1 (0),0.03,-0.09,0.0,-0.05
214654,S Mounie,Huddersfield Town,FW,21 (7),0.12,0.01,0.11,0.24
215983,S Boufal,Celta de Vigo,MD,11 (15),0.01,0.04,0.01,0.07
217078,D Amartey,Leicester City,MD,6 (2),0.01,0.01,0.0,0.02
222220,A Robertson,Liverpool,DF,22 (0),0.0,0.09,0.04,0.13
224206,S Byram,Unknown,DF,2 (3),0.05,-0.04,-0.16,-0.16
227756,J Boga,Sassuolo,FW,1 (0),-0.03,-0.01,0.0,-0.04
22889,D Zappacosta,Chelsea,DF,12 (10),0.02,0.05,0.01,0.08
230020,A Iwobi,Arsenal,MD,22 (4),-0.0,0.09,0.01,0.1
230883,A Gutierrez,Newcastle United,FW,28 (6),0.02,0.02,0.1,0.14
234408,J Sinclair,Unknown,FW,0 (4),0.0,0.03,0.0,0.03
235555,R Loftus-Cheek,Chelsea,MD,21 (3),0.03,0.13,-0.0,0.15
237268,M Grujic,Liverpool,MD,0 (3),0.01,-0.03,0.0,-0.02
239411,T Mings,AFC Bournemouth,DF,3 (1),0.04,0.01,-0.01,0.04
240032,J Bednarek,Southampton,DF,5 (0),0.01,0.01,0.21,0.24
240070,H Winks,Tottenham Hotspur,MD,9 (7),0.01,0.05,-0.01,0.06
240559,J Riedewald,Crystal Palace,DF,4 (8),0.01,-0.0,-0.0,0.0
241564,O Zinchenko,Manchester City,MD,6 (2),0.01,0.11,-0.02,0.09
