29474,R Thomas,Angers,DF,0,0.0,0.0,0.0,0.0
253784,B Guillaume,Angers,FW,0,0.0,0.0,0.0,0.0
7945,D Welbeck,Arsenal,FW,12 (16),66.0,52.0,41.17647058823594,76.0
333571,L Pascua,Arsenal,MD,0,0.0,0.0,0.0,0.0
167145,H Moruno,Arsenal,DF,34 (1),62.0,57.0,37.50000000000073,76.0
7855,L Koscielny,Arsenal,DF,25 (0),68.0,62.0,62.96296296296323,89.0
105338,H Mkhitaryan,Arsenal,MD,20 (6),66.0,50.0,44.44444444444503,68.0
14869,S Kolasinac,Arsenal,DF,25 (2),62.0,47.0,64.28571428571453,61.0
120339,M Elneny,Arsenal,MD,11 (2),60.0,71.0,68.75000000000018,81.0
7870,A Ramsey,Arsenal,MD,21 (3),63.0,52.0,41.17647058823594,48.0
20465,S Lichtsteiner,Arsenal,DF,0,0.0,0.0,0.0,0.0
25867,P Aubameyang,Arsenal,FW,12 (1),76.0,38.0,33.33333333333417,57.0
7882,P Cech,Arsenal,GK,34 (0),53.0,57.0,88.8888888888889,31.0
3560,I Eraso,Arsenal,DF,26 (2),74.0,57.0,54.54545454545493,73.0
370224,R Holding,Arsenal,DF,9 (3),66.0,52.0,66.66666666666688,84.0
25413,A Lacazette,Arsenal,FW,26 (6),67.0,50.0,16.666666666667975,47.0
3319,M Ozil,Arsenal,MD,24 (2),66.0,62.0,10.0,49.0
279717,A Maitland-Niles,Arsenal,MD,8 (6),63.0,57.0,41.17647058823594,89.0
230020,A Iwobi,Arsenal,MD,22 (4),58.0,58.0,37.50000000000073,60.0
413002,K Mavropanos,Arsenal,DF,3 (0),0.0,44.0,54.54545454545493,84.0
49876,G Xhaka,Arsenal,MD,37 (1),55.0,20.0,41.17647058823594,73.0
20612,S Mustafi,Arsenal,DF,25 (2),69.0,55.0,54.54545454545493,80.0
288663,M Caldara,Atalanta,DF,0,0.0,0.0,0.0,0.0
135150,A Cornelius,Atalanta,FW,0,0.0,0.0,0.0,0.0
264084,P Gollini,Atalanta,GK,0,0.0,0.0,0.0,0.0
86366,J Palomino,Atalanta,DF,0,0.0,0.0,0.0,0.0
20841,A Masiello,Atalanta,DF,0,0.0,0.0,0.0,0.0
40767,J Urbano,Atalanta,MD,0,0.0,0.0,0.0,0.0
20404,B Cristante,Atalanta,MD,0,0.0,0.0,0.0,0.0
246175,A Petagna,Atalanta,FW,0,0.0,0.0,0.0,0.0
23386,L Rizzo,Atalanta,MD,0,0.0,0.0,0.0,0.0
405597,A Bastoni,Atalanta,DF,0,0.0,0.0,0.0,0.0
49991,R Freuler,Atalanta,MD,0,0.0,0.0,0.0,0.0
50849,E Berisha,Atalanta,GK,0,0.0,0.0,0.0,0.0
280419,H Hateboer,Atalanta,DF,0,0.0,0.0,0.0,0.0
21077,A Gomez,Atalanta,FW,0,0.0,0.0,0.0,0.0
346913,G Mancini,Atalanta,DF,0,0.0,0.0,0.0,0.0
41034,R Toloi,Atalanta,DF,0,0.0,0.0,0.0,0.0
190167,L Spinazzola,Atalanta,MD,0,0.0,0.0,0.0,0.0
20820,J Ilicic,Atalanta,FW,0,0.0,0.0,0.0,0.0
22053,F Rossi,Atalanta,GK,0,0.0,0.0,0.0,0.0
491409,M Barrow,Atalanta,FW,0,0.0,0.0,0.0,0.0
625,M Roon,Atalanta,MD,0,0.0,0.0,0.0,0.0
342075,N Haas,Atalanta,MD,0,0.0,0.0,0.0,0.0
263803,T Castagne,Atalanta,DF,0,0.0,0.0,0.0,0.0
295176,R Gosens,Atalanta,DF,0,0.0,0.0,0.0,0.0
3671,I Berridi,Athletic Club,DF,0,0.0,0.0,0.0,0.0
4113,X Gorritxategi,Athletic Club,DF,0,0.0,0.0,0.0,0.0
230862,I Martinez,Athletic Club,DF,0,0.0,0.0,0.0,0.0
230857,Y Lopez,Athletic Club,DF,0,0.0,0.0,0.0,0.0
3290,A Zubeldia,Athletic Club,FW,0,0.0,0.0,0.0,0.0
3425,I Goni,Athletic Club,FW,0,0.0,0.0,0.0,0.0
3750,M Oruesagasti,Athletic Club,DF,0,0.0,0.0,0.0,0.0
3414,A Derteano,Athletic Club,MD,0,0.0,0.0,0.0,0.0
3409,M Dominguez,Athletic Club,MD,0,0.0,0.0,0.0,0.0
3408,E Teixidor,Athletic Club,DF,0,0.0,0.0,0.0,0.0
344075,I Kerejeta,Athletic Club,MD,0,0.0,0.0,0.0,0.0
4476,I Buisan,Athletic Club,GK,0,0.0,0.0,0.0,0.0
344068,U Gestoso,Athletic Club,DF,0,0.0,0.0,0.0,0.0
3421,O Arana,Athletic Club,DF,0,0.0,0.0,0.0,0.0
3420,M Laskurain,Athletic Club,MD,0,0.0,0.0,0.0,0.0
167119,S Zuloaga,Athletic Club,FW,0,0.0,0.0,0.0,0.0
286963,M Arruti,Athletic Club,MD,0,0.0,0.0,0.0,0.0
5290,M Moreno,Athletic Club,MD,0,0.0,0.0,0.0,0.0
